동,면적구간,평균 전세가율
고등동,소형,데이터 없음
고등동,중형,7.194244604
고등동,대형,데이터 없음
고등동,초대형,데이터 없음
고색동,소형,14.07415490588889
고색동,중형,데이터 없음
고색동,대형,49.52139385
고색동,초대형,데이터 없음
교동,소형,데이터 없음
교동,중형,4.37414966
교동,대형,25.615599862
교동,초대형,데이터 없음
구운동,소형,15.034689465
구운동,중형,61.5991555525
구운동,대형,데이터 없음
구운동,초대형,데이터 없음
권선동,소형,20.89614482315625
권선동,중형,58.72142770194737
권선동,대형,83.00662165744681
권선동,초대형,65.47148777364285
금곡동,소형,16.279838364690477
금곡동,중형,49.464113576057144
금곡동,대형,데이터 없음
금곡동,초대형,데이터 없음
남창동,소형,14.658113065
남창동,중형,데이터 없음
남창동,대형,데이터 없음
남창동,초대형,데이터 없음
매교동,소형,데이터 없음
매교동,중형,데이터 없음
매교동,대형,24.42002442
매교동,초대형,데이터 없음
매산로1가,소형,7.142857143
매산로1가,중형,19.914348643166665
매산로1가,대형,데이터 없음
매산로1가,초대형,데이터 없음
매산로2가,소형,15.409242310833333
매산로2가,중형,31.321252998533332
매산로2가,대형,92.92555868
매산로2가,초대형,57.14285714
매산로3가,소형,데이터 없음
매산로3가,중형,데이터 없음
매산로3가,대형,2.8792020925
매산로3가,초대형,데이터 없음
매탄동,소형,데이터 없음
매탄동,중형,데이터 없음
매탄동,대형,70.285058645
매탄동,초대형,데이터 없음
서둔동,소형,33.11541125
서둔동,중형,53.39805825
서둔동,대형,데이터 없음
서둔동,초대형,데이터 없음
세류동,소형,데이터 없음
세류동,중형,데이터 없음
세류동,대형,37.464220318399995
세류동,초대형,데이터 없음
송죽동,소형,12.75510204
송죽동,중형,79.88675360333333
송죽동,대형,60.4540627675
송죽동,초대형,데이터 없음
연무동,소형,데이터 없음
연무동,중형,데이터 없음
연무동,대형,8.1519701192
연무동,초대형,데이터 없음
영통동,소형,27.010977352434782
영통동,중형,19.57410312214286
영통동,대형,데이터 없음
영통동,초대형,53.411189492235295
우만동,소형,48.443223445
우만동,중형,27.721586349666666
우만동,대형,데이터 없음
우만동,초대형,데이터 없음
원천동,소형,데이터 없음
원천동,중형,65.81494059
원천동,대형,45.35198066
원천동,초대형,57.37704918
율전동,소형,51.72413793
율전동,중형,33.5142507485625
율전동,대형,5.194805195
율전동,초대형,72.54434125
이의동,소형,50.68030616758436
이의동,중형,49.26300914912583
이의동,대형,49.847152304285714
이의동,초대형,데이터 없음
인계동,소형,44.139391704577775
인계동,중형,65.54913732151181
인계동,대형,64.0183656824074
인계동,초대형,58.59166462046808
정자동,소형,63.26459164583333
정자동,중형,48.202565639058825
정자동,대형,92.66826922999999
정자동,초대형,데이터 없음
조원동,소형,데이터 없음
조원동,중형,27.905800392285716
조원동,대형,데이터 없음
조원동,초대형,데이터 없음
파장동,소형,데이터 없음
파장동,중형,데이터 없음
파장동,대형,40.226626124199996
파장동,초대형,데이터 없음
하동,소형,109.0600174
하동,중형,51.31349291738889
하동,대형,42.54423063249231
하동,초대형,28.94736842
호매실동,소형,데이터 없음
호매실동,중형,6.768189509
호매실동,대형,데이터 없음
호매실동,초대형,데이터 없음
