구분,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평시,여주시,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,기타유의사항
13년까지,,885,,1,2,2,,,480,,209,795,2,481,6,,,,,,,,3,,1,,1,,,4,,공란은 데이터 미집계
14년,,191,,,3,,,,111,,1,194,3,64,193,,1,,,,,,50,,1,,,,1,2,,공란은 데이터 미집계
15년,,216,,,67,13,1,,196,,56,197,,114,9,,,1,,,,,3,,34,,1,1,,,,공란은 데이터 미집계
16년,1,113,,94,77,80,21,23,94,4,71,238,46,145,110,,39,11,,,2,12,31,2,229,,39,2,2,22,1,공란은 데이터 미집계
17년,1,190,,121,109,105,44,27,226,11,95,193,173,126,110,24,170,22,,,2,14,77,42,170,,37,111,8,33,10,공란은 데이터 미집계
18년,10,325,5,78,89,41,49,21,208,18,135,233,199,53,188,28,166,24,3,35,3,20,99,23,245,14,28,125,8,16,25,공란은 데이터 미집계
19년,9,296,,61,127,84,70,34,215,27,208,247,226,94,363,31,163,36,20,18,9,34,148,38,208,13,48,95,29,33,37,공란은 데이터 미집계
20년,22,140,10,95,66,85,64,31,158,40,247,294,270,145,462,24,159,30,15,14,14,30,113,54,192,11,43,113,30,12,28,공란은 데이터 미집계
21년,8,188,5,40,51,42,53,8,109,19,182,184,192,79,187,17,164,8,19,9,3,6,61,26,108,14,17,39,10,13,13,공란은 데이터 미집계
22년,15,354,7,83,102,92,55,18,170,64,279,352,235,104,215,25,182,46,43,17,0,16,44,34,256,15,35,44,15,21,10,공란은 데이터 미집계
23년,27,469,18,87,181,83,102,42,224,96,361,300,346,180,392,43,285,61,116,54,4,34,104,37,318,27,73,107,63,57,41,공란은 데이터 미집계
24년,29,489,9,93,130,72,104,47,274,123,325,242,439,211,476,101,286,89,84,50,20,61,163,44,326,39,119,170,77,83,54,
25년 목표,30,250,10,50,80,40,50,50,130,40,170,170,210,80,200,30,120,40,40,30,10,30,120,30,130,30,80,90,40,40,80,
